title,engine_size,engine_type,total_kms,price,link
"BMW 3-SERIES, PLUG IN HYBRID ⚡ ELECTRIC/PETROL ⛽",2016,2.0 Petrol Plug-in Hybrid,"45,000 km","€20,499",/cars-for-sale/bmw-3-series-plug-in-hybrid-electric-petrol/36960171
The Lodge Motor Company,Independent Dealer,2015,2.0 Diesel,"€10,900",/cars-for-sale/2015-bmw-316d-sport-new-nct-high-spec/36316667
Kearys CarStore,Independent Dealer4.4/5,2016,2.0 Petrol Plug-in Hybrid,"€20,888",/cars-for-sale/bmw-3-series-330e-sport/37665986
North Road Motor Company,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/bmw-330e-plug-in-top-spec-m-sport/36947625
2016 BMW 320d M-Sport,2016,2.0 Diesel,"97,700 mi","€24,500",/cars-for-sale/2016-bmw-320d-m-sport/37665460
Ace Autos,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-hybrid-12m-warr/37665126
Cammia Motors,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/bmw-3-series-m-sport-auto-2-0d-4dr/37665088
BMW 3-Series 2015,2015,2.0 Diesel,"108,500 mi","€1,234",/cars-for-sale/bmw-3-series-2015/37091328
BMW F30 318d 2014,2014,2.0 Diesel,"250,000 km","€8,500",/cars-for-sale/bmw-f30-318d-2014/37664774
BMW 3-Series 2014 EfficientDynamics F30,2014,2.0 Diesel,"299,150 km","€7,000",/cars-for-sale/bmw-3-series-2014-efficientdynamics-f30/37450373
2016 BMW 3-Series F30 D Efficiency Dynamics Plus,2016,2.0 Diesel,"143,693 km","€16,000",/cars-for-sale/2016-bmw-3-series-f30-d-efficiency-dynamics-plus/37662709
Castle Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€20,900",/cars-for-sale/bmw-3-series-330-e-2-0-m-sport-plug-in/36409988
